id,code,ns,count
HUBU-CCEE.GIN.BH446R-0,HUBU-CCEE.GIN.BH446R,0,2.0
HUBU-CCEE.GIN.BH447R-0,HUBU-CCEE.GIN.BH447R,0,1.0
HUBU-CCEE.GIN.BH646R-0,HUBU-CCEE.GIN.BH646R,0,3.0
HUBU-CCEE.GIN.BM067R-0,HUBU-CCEE.GIN.BM067R,0,1.0
HUBU-CCEE.GIN.BN113R-0,HUBU-CCEE.GIN.BN113R,0,2.0
HUBU-CCEE.GIN.BN134R-0,HUBU-CCEE.GIN.BN134R,0,2.0
HUBU-CCEE.GIN.EL014R-0,HUBU-CCEE.GIN.EL014R,0,2.0
HUBU-CCEE.GIN.EL015R-0,HUBU-CCEE.GIN.EL015R,0,2.0
HUBU-CCEE.GIN.EL042R-0,HUBU-CCEE.GIN.EL042R,0,1.0
HUBU-CCEE.GIN.EL075R-0,HUBU-CCEE.GIN.EL075R,0,1.0
HUBU-CCEE.GIN.EM103R-0,HUBU-CCEE.GIN.EM103R,0,1.0
HUBU-CCEE.GIN.EM104R-0,HUBU-CCEE.GIN.EM104R,0,1.0
HUBU-CCEE.GIN.EM105R-0,HUBU-CCEE.GIN.EM105R,0,1.0
HUBU-CCEE.GIN.EM122R-0,HUBU-CCEE.GIN.EM122R,0,2.0
HUBU-CCEE.GIN.EO010R-0,HUBU-CCEE.GIN.EO010R,0,2.0
HUBU-CCEE.GIN.EO122R-0,HUBU-CCEE.GIN.EO122R,0,2.0
HUBU-CCEE.GIN.ER011R-0,HUBU-CCEE.GIN.ER011R,0,2.0
HUBU-CCEE.GIN.ER055R-0,HUBU-CCEE.GIN.ER055R,0,2.0
HUBU-CCEE.GIN.ER061R-0,HUBU-CCEE.GIN.ER061R,0,1.0
HUBU-CCEE.GIN.ER073R-0,HUBU-CCEE.GIN.ER073R,0,1.0
HUBU-CCEE.GIN.FB416R-0,HUBU-CCEE.GIN.FB416R,0,2.0
HUBU-CCEE.NCI.BC110R-0,HUBU-CCEE.NCI.BC110R,0,1.0
HUBU-CCEE.NCI.BD210R-0,HUBU-CCEE.NCI.BD210R,0,1.0
HUBU-CCEE.NUC.BC316R-0,HUBU-CCEE.NUC.BC316R,0,2.0
HUBU-CCEE.NUC.BD049R-0,HUBU-CCEE.NUC.BD049R,0,2.0
HUBU-CCEE.NUC.BH110R-0,HUBU-CCEE.NUC.BH110R,0,4.0
HUBU-CCEE.NUC.BH442R-0,HUBU-CCEE.NUC.BH442R,0,2.0
HUBU-CCEE.NUC.BH642R-0,HUBU-CCEE.NUC.BH642R,0,4.0
HUBU-CCEE.OFT.18009-0,HUBU-CCEE.OFT.18009,0,1.0
HUBU-CCEE.ONC.BD222R-0,HUBU-CCEE.ONC.BD222R,0,2.0
HUBU-CCEE.ONC.BH442R-0,HUBU-CCEE.ONC.BH442R,0,2.0
HUBU-CCEE.ONC.BH444R-0,HUBU-CCEE.ONC.BH444R,0,1.0
HUBU-CCEE.ORL.600768-0,HUBU-CCEE.ORL.600768,0,2.0
HUBU-CCEE.ORL.782000-0,HUBU-CCEE.ORL.782000,0,2.0
HUBU-CCEE.ORL.782001-0,HUBU-CCEE.ORL.782001,0,1.0
HUBU-CCEE.ORL.782002-0,HUBU-CCEE.ORL.782002,0,1.0
HUBU-CCEE.ORL.782003-0,HUBU-CCEE.ORL.782003,0,1.0
HUBU-CCEE.ORL.821118-0,HUBU-CCEE.ORL.821118,0,1.0
HUBU-CCEE.ORL.BB070R-0,HUBU-CCEE.ORL.BB070R,0,2.0
HUBU-CCEE.ORL.BD050R-0,HUBU-CCEE.ORL.BD050R,0,1.0
HUBU-CCEE.ORL.BD220R-0,HUBU-CCEE.ORL.BD220R,0,2.0
HUBU-CCEE.ORL.BD222R-0,HUBU-CCEE.ORL.BD222R,0,1.0
HUBU-CCEE.ORL.BD510R-0,HUBU-CCEE.ORL.BD510R,0,2.0
