0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,bm,bpm,timestamp-diff
EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b11145,b3626,30 days 20:24:00
EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b11145,b3691,29 days 22:08:00
EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b11145,b3711,29 days 05:18:00
EXT-QUI.GOMA-0,EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,EXT-QUI.495NCS-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b11145,b6186,19 days 18:11:00
EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b11145,b40405,20 days 01:37:00
EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b11145,b40701,19 days 20:30:00
EXT-QUI.GOMA-0,EXT-QUI.012-0,EXT-QUI.012-0,EXT-QUI.012-0,EXT-QUI.012-0,EXT-QUI.012-0,EXT-QUI.012-0,EXT-QUI.012-0,EXT-QUI.012-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b10993,b10993,0 days 00:00:00
EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b11145,b11006,2 days 17:52:00
EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,EXT-QUI.495NCS-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b11145,b10921,2 days 22:21:00
EXT-QUI.GOMA-0,EXT-QUI.GOMA-0,EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b11145,b3106,32 days 01:01:00
EXT-QUI.GOMA-0,EXT-QUI.HARM-0,EXT-QUI.011-0,EXT-QUI.011-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b3254,b3254,0 days 00:00:00
EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b11145,b2983,32 days 04:40:00
EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b11145,b27974,49 days 05:41:00
EXT-QUI.GOMA-0,EXT-QUI.GOMA-0,EXT-QUI.GOMA-0,EXT-QUI.GOMA-0,EXT-QUI.GOMA-0,EXT-QUI.GOMA-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b10572,b7713,9 days 19:32:00
EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b11145,b7664,13 days 22:14:00
EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b11145,b5259,24 days 00:39:00
EXT-QUI.GOMA-0,EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,EXT-QUI.495NCS-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b11145,b2537,33 days 22:33:00
EXT-QUI.GOMA-0,EXT-QUI.GOMA-0,EXT-QUI.GOMA-0,EXT-QUI.GOMA-0,EXT-QUI.GOMA-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b10572,b9337,3 days 02:05:00
EXT-QUI.GOMA-0,EXT-QUI.GOMA-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b11420,
EXT-QUI.GOMA-0,EXT-QUI.495NCS-0,EXT-QUI.495NCS-0,EXT-QUI.FIADOR-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b11574,b11574,0 days 00:00:00
