id,code,ns,count
DO2-70-1,DO2-70,1,1.0
EQP-CCEE.GIN.001-1,EQP-CCEE.GIN.001,1,1.0
EQP-CCEE.GIN.001-2,EQP-CCEE.GIN.001,2,1.0
EQP-CCEE.GIN.001-3,EQP-CCEE.GIN.001,3,1.0
EQP-CCEE.GIN.001-4,EQP-CCEE.GIN.001,4,1.0
EQP-CCEE.GIN.001-5,EQP-CCEE.GIN.001,5,1.0
EQP-CCEE.GIN.001-6,EQP-CCEE.GIN.001,6,1.0
EQP-CCEE.GIN.002-1,EQP-CCEE.GIN.002,1,1.0
EQP-CCEE.GIN.002-2,EQP-CCEE.GIN.002,2,1.0
EQP-CCEE.GIN.002-3,EQP-CCEE.GIN.002,3,1.0
EQP-CCEE.GIN.002-4,EQP-CCEE.GIN.002,4,1.0
EQP-CCEE.GIN.002-5,EQP-CCEE.GIN.002,5,1.0
EQP-CCEE.GIN.003-1,EQP-CCEE.GIN.003,1,1.0
EQP-CCEE.GIN.003-2,EQP-CCEE.GIN.003,2,1.0
EQP-CCEE.GIN.003-3,EQP-CCEE.GIN.003,3,1.0
EQP-CCEE.GIN.003-4,EQP-CCEE.GIN.003,4,1.0
EQP-CCEE.GIN.005-1,EQP-CCEE.GIN.005,1,1.0
EQP-CCEE.GIN.005-2,EQP-CCEE.GIN.005,2,1.0
EQP-CCEE.GIN.005-3,EQP-CCEE.GIN.005,3,1.0
EQP-CCEE.GIN.005-4,EQP-CCEE.GIN.005,4,1.0
EQP-CCEE.GIN.005-5,EQP-CCEE.GIN.005,5,1.0
EQP-CCEE.GIN.006-1,EQP-CCEE.GIN.006,1,1.0
EQP-CCEE.GIN.006-2,EQP-CCEE.GIN.006,2,1.0
EQP-CCEE.GIN.006-3,EQP-CCEE.GIN.006,3,1.0
EQP-CCEE.GIN.006-4,EQP-CCEE.GIN.006,4,1.0
EQP-CCEE.GIN.006-5,EQP-CCEE.GIN.006,5,1.0
EQP-DAVINCI.001-1,EQP-DAVINCI.001,1,1.0
EQP-DAVINCI.002-1,EQP-DAVINCI.002,1,1.0
EQP-DAVINCI.003-1,EQP-DAVINCI.003,1,1.0
EQP-DAVINCI.004-1,EQP-DAVINCI.004,1,1.0
EQP-DAVINCI.004-2,EQP-DAVINCI.004,2,1.0
EQP-DAVINCI.005-1,EQP-DAVINCI.005,1,1.0
EQP-DAVINCI.005-2,EQP-DAVINCI.005,2,1.0
