process_cycle,repetition
"Carga L+D iniciada, Carga L+D iniciada, Carga L+D iniciada, Carga L+D iniciada, Carga L+D iniciada, Carga L+D iniciada, Carga L+D iniciada, Carga L+D iniciada, Carga L+D iniciada, Carga L+D iniciada, Carga L+D iniciada, Carga L+D iniciada, Carga L+D iniciada, Carga L+D iniciada, Carga L+D iniciada, Carga L+D iniciada, Carga L+D iniciada, Carga L+D iniciada, Carga L+D iniciada, Carga L+D iniciada, Carga L+D liberada, Carga L+D liberada, Carga L+D liberada, Carga L+D liberada, Carga L+D liberada, Carga L+D liberada, Carga L+D liberada, Carga L+D liberada, Carga L+D liberada, Carga L+D liberada, Carga L+D liberada, Carga L+D liberada, Carga L+D liberada, Carga L+D liberada, Carga L+D liberada, Carga L+D liberada, Carga L+D liberada, Carga L+D liberada, Carga L+D liberada, Carga L+D liberada, Comisionado",7
"Montaje, Producción montada, Producción montada, Producción montada, Producción montada, Producción montada, Producción montada, Producción montada, Producción montada, Producción montada, Producción montada, Producción montada, Producción montada, Composición de cargas, Composición de cargas, Composición de cargas, Composición de cargas, Composición de cargas, Composición de cargas, Composición de cargas, Composición de cargas, Composición de cargas, Composición de cargas, Composición de cargas, Composición de cargas, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada, Comisionado",7
"Montaje, Producción montada, Producción montada, Producción montada, Montaje, Producción montada, Composición de cargas, Composición de cargas, Composición de cargas, Composición de cargas, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada, Comisionado",7
"Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada, Carga de esterilizador liberada, Comisionado",7
"Entrada Material Sucio, Cargado en carro L+D, Cargado en carro L+D, Carga L+D iniciada, Carga L+D iniciada, Carga L+D liberada, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada",7
"Entrada Material Sucio, Cargado en carro L+D, Carga L+D iniciada, Cargado en carro L+D, Carga L+D liberada, Carga L+D iniciada, Carga L+D liberada, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada",7
"Entrada Material Sucio, Cargado en carro L+D, Carga L+D iniciada, Cargado en carro L+D, Carga L+D iniciada, Carga L+D liberada, Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada",7
"Montaje, Producción montada, Montaje, Producción montada, Composición de cargas, Composición de cargas, Carga de esterilizador liberada, Carga de esterilizador liberada",7
"Montaje, Montaje, Producción montada, Producción montada, Composición de cargas, Composición de cargas, Carga de esterilizador liberada, Carga de esterilizador liberada",7
"Montaje, Producción montada, Composición de cargas, Carga de esterilizador liberada, Montaje, Producción montada, Producción montada, Composición de cargas, Composición de cargas, Carga de esterilizador liberada, Carga de esterilizador liberada",7
