r.KitID,r.DurationBetweenSterilizations,r.CycleNumber,DurationDifference
CONT-QUI.CP-2,1291,1,1271.0
CONT-QUI.CPL-2,1353,1,1058.0
CONT-QUI.ORL-4,173,1,-976.0
CONT-CCEE.CV-1,1,1,1.0
CONT-CCEE.CP-1,1433,1,
CONT-CCEE.GINE-4,1433,1,1431.0
HGY-QUI.CP.CAJA-0,373,1,-1002.0
CONT-HOS.NEF-1,9,1,-1197.0
CONT-QUI.ORL-3,116,1,-185.0
CONT-QUI.OFT-2,36,1,-1050.0
CONT-QUI.CG-2,1060,1,710.0
CONT-QUI.NEUR-3,1259,1,163.0
CONT-QUI.URO-2,787,1,665.0
HGY-QUI.CP.CAJA-0,1016,1,643.0
CONT-QUI.ORL-3,1200,1,1084.0
CONT-QUI.GINE-1,78,1,-1291.0
CONT-QUI.TRA-1,1274,1,1133.0
CONT-QUI.CV-5,28,1,-130.0
CONT-QUI.OFT-1,1172,1,1031.0
EQP-CCEE.GIN.005-1,1436,1,
EQP-CCEE.GIN.002-1,1436,1,
EQP-CCEE.GIN.003-3,1436,1,9.0
EQP-CCEE.GIN.002-4,1436,1,
EQP-CCEE.GIN.002-2,1436,1,
CONT-QUI.ORL-4,107,1,-66.0
CONT-QUI.NEUR-2,63,1,-1323.0
CONT-QUI.ORL-4,1,1,-106.0
CONT-QUI.TRA-4,98,1,-1170.0
CONT-QUI.CV-1,1412,1,1255.0
CONT-CIST-1,276,1,246.0
CONT-QUI.CG-3,628,1,220.0
CONT-QUI.ORL-1,1181,1,154.0
CONT-QUI.GINE-1,122,1,44.0
HNB-CG.001-7,1,1,
CONT-HOS.ORL-2,1430,1,
CONT-QUI.CPL-2,1102,1,-251.0
CONT-QUI.ORL-4,1246,1,1245.0
HGY-QUI.TRA.CAJA-0,0,1,0.0
HGY-QUI.TRA.CAJA-0,0,1,0.0
CONT-QUI.CG-4,45,1,-1363.0
CONT-QUI.TRA-2,0,1,-1429.0
CONT-QUI.TRA-2,0,1,0.0
CONT-QUI.TRA-2,0,1,0.0
CONT-QUI.TRA-2,27,1,27.0
CONT-QUI.GINE-1,391,1,269.0
CONT-QUI.TRA-1,105,1,-1169.0
HGY-QUI.CAJA-0,0,1,
HGY-QUI.CAJA-0,0,1,0.0
HGY-QUI.CAJA-0,0,1,0.0
HGY-QUI.CAJA-0,37,1,37.0
HGY-QUI.TRA.CAJA-0,0,1,0.0
HGY-QUI.TRA.CAJA-0,0,1,0.0
HGY-QUI.TRA.CAJA-0,30,1,30.0
CONT-PARTOS-2,5,1,
CONT-QUI.CV-5,1,1,-27.0
CONT-QUI.CPL-4,1324,1,851.0
CONT-QUI.URO-2,296,1,-491.0
CONT-QUI.NEUR-2,1426,1,1363.0
HGY-QUI.CAJA-0,0,1,-37.0
HGY-QUI.CAJA-0,0,1,0.0
HGY-QUI.CAJA-0,0,1,0.0
HGY-QUI.CAJA-0,1214,1,1214.0
CONT-QUI.URO-3,1284,1,1196.0
CONT-NEONATOS-1,0,1,-1434.0
CONT-QUI.GINE-2,375,1,
CONT-QUI.URO-3,122,1,-1162.0
CONT-QUI.TRA-4,47,1,-51.0
CONT-QUI.TRA-1,148,1,43.0
CONT-QUI.GINE-2,91,1,-284.0
CONT-QUI.CPL-2,125,1,-977.0
CONT-CIST-1,60,1,-216.0
CONT-QUI.URO-2,1076,1,780.0
CONT-QUI.CPL-2,992,1,867.0
CONT-RADV-1,16,1,
CONT-HOS.CARD-1,16,1,-1420.0
CONT-HOS.OFT-2,1438,1,1432.0
CONT-QUI.NEUR-2,1416,1,-10.0
CONT-QUI.NEUR-3,1294,1,35.0
HUBU-TR.003-5,0,1,
CONT-QUI.CP-2,8,1,-1283.0
CONT-QUI.CPL-2,210,1,-782.0
CONT-QUI.CV-5,234,1,233.0
CONT-QUI.ORL-4,136,1,-1110.0
