Process Instance;Activity Name;Arrival;Start;Complete;Resources;Batch Number;Cluster Id;Batch Type;Natural Arrival Time
12;Assign Sterilization Machine;2022-01-01 10:43:07;2022-01-01 10:47:44;2022-01-01 10:50:14;Usuario_AV;13;sid-1E2C1856-73F2-4126-A306-F50DE79D3093;PARALLEL;
12;INTRUM;2022-01-01 10:50:14;2022-01-01 10:52:56;2022-01-01 12:12:56;Autoclave_#3;4;sid-257780B6-2484-4B65-891F-01BF1C344E5E;PARALLEL;
12;Free Sterilization Machine;2022-01-01 12:12:56;2022-01-01 12:12:56;2022-01-01 12:15:29;Usuario_AV;8;sid-B6CA039C-A65D-4FB9-A43D-46FA7BADDBC4;PARALLEL;
13;Scan Entered Kit;2022-01-01 08:38:13;2022-01-01 08:38:13;2022-01-01 08:39:48;Usuario_AV;8;sid-5CBD3FF6-7B24-4CF2-8A46-F93DC969E27F;PARALLEL;
13;Put on Rack;2022-01-01 08:39:48;2022-01-01 08:39:48;2022-01-01 08:42:21;Usuario_AV;8;sid-7EA6B7E4-DF8E-409C-BA8B-67277BC5B31E;PARALLEL;
13;Assign Washing Machine;2022-01-01 08:42:21;2022-01-01 08:42:21;2022-01-01 08:48:25;Usuario_AV;7;sid-AC68D104-4A40-4D25-A104-EF41EB1745A2;PARALLEL;
13;Instrumental normal;2022-01-01 08:48:25;2022-01-01 08:51:57;2022-01-01 10:01:57;Lavadora_#1;7;sid-B97A3A60-5F52-4BF8-81D8-7C005B14880E;PARALLEL;
13;Free Washing Machine;2022-01-01 10:01:57;2022-01-01 10:04:34;2022-01-01 10:10:38;Usuario_AV;7;sid-0843CAC2-1650-439C-A750-FF8B35823E8A;PARALLEL;
13;Assembly;2022-01-01 10:10:38;2022-01-01 10:12:19;2022-01-01 10:19:00;Usuario_AV;;;;
13;Assign Sterilization Machine;2022-01-01 10:19:00;2022-01-01 10:19:00;2022-01-01 10:34:33;Usuario_AV;12;sid-1E2C1856-73F2-4126-A306-F50DE79D3093;PARALLEL;
13;CONTENE;2022-01-01 10:34:33;2022-01-01 10:40:29;2022-01-01 12:20:29;Autoclave_#0;1;sid-7431B6F2-819F-4562-9FB3-1EFE00367CD6;PARALLEL;
13;Free Sterilization Machine;2022-01-01 12:20:29;2022-01-01 12:21:02;2022-01-01 12:32:51;Usuario_AV;9;sid-B6CA039C-A65D-4FB9-A43D-46FA7BADDBC4;PARALLEL;
14;Scan Entered Kit;2022-01-01 08:42:23;2022-01-01 08:48:25;2022-01-01 08:55:48;Usuario_AV;9;sid-5CBD3FF6-7B24-4CF2-8A46-F93DC969E27F;PARALLEL;
14;Put on Rack;2022-01-01 08:55:48;2022-01-01 09:02:14;2022-01-01 09:14:03;Usuario_AV;9;sid-7EA6B7E4-DF8E-409C-BA8B-67277BC5B31E;PARALLEL;
14;Assign Washing Machine;2022-01-01 09:14:03;2022-01-01 09:20:29;2022-01-01 09:21:26;Usuario_AV;8;sid-AC68D104-4A40-4D25-A104-EF41EB1745A2;PARALLEL;
14;Instrumental normal;2022-01-01 09:21:26;2022-01-01 09:36:49;2022-01-01 10:46:49;Lavadora_#0;8;sid-B97A3A60-5F52-4BF8-81D8-7C005B14880E;PARALLEL;
14;Free Washing Machine;2022-01-01 10:46:49;2022-01-01 10:51:16;2022-01-01 10:55:27;Usuario_AV;10;sid-0843CAC2-1650-439C-A750-FF8B35823E8A;PARALLEL;
14;Assembly;2022-01-01 10:55:27;2022-01-01 11:00:21;2022-01-01 11:56:11;Usuario_AV;;;;
14;Assign Sterilization Machine;2022-01-01 11:56:11;2022-01-01 11:56:11;2022-01-01 11:58:34;Usuario_AV;20;sid-1E2C1856-73F2-4126-A306-F50DE79D3093;PARALLEL;
14;CONTENE;2022-01-01 11:58:34;2022-01-01 12:12:56;2022-01-01 13:52:56;Autoclave_#3;3;sid-7431B6F2-819F-4562-9FB3-1EFE00367CD6;PARALLEL;
14;Free Sterilization Machine;2022-01-01 13:52:56;2022-01-01 13:54:14;2022-01-02 07:50:04;Usuario_AV;17;sid-B6CA039C-A65D-4FB9-A43D-46FA7BADDBC4;PARALLEL;
